iter	Passed	Remaining
0	3	3823
1	7	3760
2	9	3227
3	11	2929
4	14	2822
5	16	2769
6	21	3004
7	23	2963
8	26	2906
9	28	2814
10	31	2792
11	35	2897
12	39	2993
13	41	2941
14	43	2885
15	46	2866
16	49	2840
17	53	2914
18	55	2876
19	58	2864
20	60	2829
21	63	2801
22	69	2935
23	71	2896
24	73	2885
25	76	2862
26	81	2926
27	85	2979
28	88	2960
29	90	2929
30	92	2906
31	98	2983
32	101	2962
33	103	2945
34	106	2932
35	109	2925
36	113	2952
37	116	2952
38	119	2933
39	121	2912
40	123	2893
41	126	2874
42	131	2918
43	133	2906
44	136	2898
45	138	2875
46	140	2856
47	145	2881
48	148	2876
49	150	2866
50	153	2847
51	155	2829
52	156	2800
53	160	2807
54	163	2804
55	166	2809
56	169	2797
57	171	2786
58	175	2799
59	179	2805
60	182	2805
61	184	2791
62	187	2784
63	189	2769
64	193	2789
65	197	2795
66	199	2782
67	202	2777
68	208	2811
69	212	2817
70	214	2802
71	216	2792
72	219	2787
73	221	2772
74	224	2771
75	226	2758
76	228	2739
77	230	2726
78	232	2712
79	234	2700
80	239	2711
81	241	2701
82	243	2687
83	245	2678
84	247	2667
85	249	2650
86	251	2642
87	255	2646
88	257	2636
89	259	2626
90	262	2623
91	265	2616
92	267	2605
93	270	2611
94	273	2606
95	275	2598
96	278	2589
97	280	2580
98	284	2591
99	287	2584
100	289	2575
101	291	2565
102	293	2553
103	295	2546
104	297	2536
105	300	2534
106	302	2528
107	305	2519
108	306	2505
109	308	2495
110	310	2489
111	314	2489
112	316	2486
113	323	2515
114	326	2513
115	329	2512
116	334	2521
117	339	2534
118	341	2528
119	344	2525
120	348	2531
121	351	2532
122	354	2527
123	357	2524
124	364	2554
125	369	2565
126	372	2561
127	376	2564
128	379	2561
129	381	2555
130	385	2559
131	389	2561
132	393	2562
133	395	2559
134	398	2555
135	401	2548
136	404	2547
137	407	2544
138	411	2546
139	413	2540
140	415	2533
141	418	2525
142	420	2517
143	423	2519
144	428	2524
145	430	2519
146	434	2519
147	436	2514
148	441	2520
149	446	2529
150	448	2523
151	451	2517
152	455	2522
153	459	2526
154	462	2522
155	465	2517
156	467	2509
157	468	2498
158	475	2515
159	480	2522
160	482	2515
161	485	2510
162	489	2511
163	492	2511
164	495	2505
165	497	2497
166	499	2490
167	504	2498
168	507	2495
169	510	2490
170	512	2482
171	514	2476
172	518	2478
173	520	2472
174	523	2466
175	526	2466
176	528	2459
177	531	2452
178	534	2450
179	536	2443
180	538	2436
181	540	2429
182	542	2424
183	545	2418
184	548	2417
185	551	2414
186	553	2408
187	555	2401
188	558	2394
189	560	2387
190	564	2391
191	567	2386
192	569	2379
193	571	2372
194	573	2368
195	575	2361
196	578	2358
197	581	2356
198	585	2354
199	587	2348
200	589	2342
201	591	2336
202	594	2334
203	597	2330
204	599	2325
205	601	2319
206	604	2315
207	606	2309
208	610	2309
209	613	2306
210	615	2300
211	617	2295
212	619	2290
213	621	2284
214	624	2279
215	628	2279
216	630	2274
217	632	2268
218	634	2263
219	636	2256
220	638	2251
221	641	2247
222	644	2244
223	646	2238
224	648	2234
225	650	2228
226	652	2223
227	654	2217
228	658	2217
229	661	2213
230	664	2212
231	666	2207
232	668	2201
233	670	2195
234	674	2195
235	677	2193
236	680	2189
237	682	2184
238	684	2180
239	687	2175
240	690	2175
241	693	2170
242	695	2166
243	697	2161
244	699	2155
245	701	2149
246	705	2152
247	708	2147
248	710	2142
249	712	2137
250	714	2133
